objectid,title,location,latitude,longitude,related_items
01-allen,SPACE Gallery,"Portland, Maine, United States",43.65622181,-70.26122002,01-allen;01-bryant-1;01-bryant-2;01-fulkerson;01-kinsella;01-kojima;01-kudo;01-marks;01-nadal;01-ohsaka;01-pixley;01-scanga;01-seki;01-shappy;01-shimazu;01-takebayashi;01-tazawa;01-tsujii;01-wolfe;01-yagihashi;01-yamada
02-beckman,Patton Free Library,"Bath, Maine, United States",43.9158124,", -69.8149016172356",02-beckman;02-berry;02-brady;02-brimstein;02-cawley;02-ebina;02-gorvett;02-hyogo;02-kaneko;02-kudoh;02-leon;02-maeno;02-miura;02-miyamoto;02-muroya;02-oyama;02-patch;02-putnam;02-sukekawa;02-sulzer;02-terada;02-tsujii;02-woodbury
,Southern Maine Community College,"South Portland, Maine, United States",43.64706146,-70.22903432,02-beckman;02-berry;02-brady;02-brimstein;02-cawley;02-ebina;02-gorvett;02-hyogo;02-kaneko;02-kudoh;02-leon;02-maeno;02-miura;02-miyamoto;02-muroya;02-oyama;02-patch;02-putnam;02-sukekawa;02-sulzer;02-terada;02-tsujii;02-woodbury
,Yarmouth History Center,"Yarmouth, Maine, United States",43.80718015,-70.19063926,02-beckman;02-berry;02-brady;02-brimstein;02-cawley;02-ebina;02-gorvett;02-hyogo;02-kaneko;02-kudoh;02-leon;02-maeno;02-miura;02-miyamoto;02-muroya;02-oyama;02-patch;02-putnam;02-sukekawa;02-sulzer;02-terada;02-tsujii;02-woodbury
,Chase's Garage,"York, Maine, United States",43.17682525,-70.61088136,02-beckman;02-berry;02-brady;02-brimstein;02-cawley;02-ebina;02-gorvett;02-hyogo;02-kaneko;02-kudoh;02-leon;02-maeno;02-miura;02-miyamoto;02-muroya;02-oyama;02-patch;02-putnam;02-sukekawa;02-sulzer;02-terada;02-tsujii;02-woodbury
,Tides Institute and Museum of Art,"Eastport, Maine, United States",44.90402165,-66.98459421,02-beckman;02-berry;02-brady;02-brimstein;02-cawley;02-ebina;02-gorvett;02-hyogo;02-kaneko;02-kudoh;02-leon;02-maeno;02-miura;02-miyamoto;02-muroya;02-oyama;02-patch;02-putnam;02-sukekawa;02-sulzer;02-terada;02-tsujii;02-woodbury
,Tokiwa Furusato Museum Asuka,"Aomori City, Aomori, Japan",40.67625088,140.540729,02-beckman;02-berry;02-brady;02-brimstein;02-cawley;02-ebina;02-gorvett;02-hyogo;02-kaneko;02-kudoh;02-leon;02-maeno;02-miura;02-miyamoto;02-muroya;02-oyama;02-patch;02-putnam;02-sukekawa;02-sulzer;02-terada;02-tsujii;02-woodbury
,Hirakawa City Cultural Center,,40.59834804,140.5622958,02-beckman;02-berry;02-brady;02-brimstein;02-cawley;02-ebina;02-gorvett;02-hyogo;02-kaneko;02-kudoh;02-leon;02-maeno;02-miura;02-miyamoto;02-muroya;02-oyama;02-patch;02-putnam;02-sukekawa;02-sulzer;02-terada;02-tsujii;02-woodbury
,Aomori Arts Pavillion,"Aomori City, Japan",40.82852196,140.7345595,01-allen;01-bryant-1;01-bryant-2;01-fulkerson;01-kinsella;01-kojima;01-kudo;01-marks;01-nadal;01-ohsaka;01-pixley;01-scanga;01-seki;01-shappy;01-shimazu;01-takebayashi;01-tazawa;01-tsujii;01-wolfe;01-yagihashi;01-yamada
,Rokunohe Town Cultural Hall,"Rokunohe, Aomori, Japan",40.61039083,141.3265156,02-beckman;02-berry;02-brady;02-brimstein;02-cawley;02-ebina;02-gorvett;02-hyogo;02-kaneko;02-kudoh;02-leon;02-maeno;02-miura;02-miyamoto;02-muroya;02-oyama;02-patch;02-putnam;02-sukekawa;02-sulzer;02-terada;02-tsujii;02-woodbury